ACCIONA,181.000,1.86,3.30,5.29,182.300,179.450,31492,9929,12:19,04/12
ACCIONA ENER,34.760,0.00,0.00,-3.82,35.180,34.740,45852,11445,12:19,04/12
ACERINOX,9.480,-0.02,-0.00,5.67,9.514,9.440,155830,2565,12:19,04/12
ACS,30.460,0.99,0.30,15.77,30.460,30.050,101954,8656,12:19,04/12
AENA,150.600,-0.20,-0.30,28.39,151.650,149.650,15112,22590,12:19,04/12
AMADEUS IT GROUP,61.220,0.36,0.22,26.10,61.280,60.900,53035,27580,12:19,04/12
ARCELORMITTAL,26.835,-0.85,-0.23,9.13,27.220,26.810,35226,23556,12:19,04/12
BANCO SABADELL,1.006,0.72,0.01,14.21,1.006,0.988,5305323,5661,12:19,04/12
BANKINTER,5.482,0.77,0.04,-11.00,5.484,5.432,388809,4928,12:19,04/12
BBVA,6.660,0.48,0.03,24.05,6.666,6.616,2357547,42535,12:19,04/12
CAIXABANK,3.455,0.09,0.00,0.55,3.464,3.422,1425704,27850,12:19,04/12
CELLNEX TELECOM,38.500,0.73,0.28,24.51,38.550,38.200,116564,26154,12:19,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.960,5.855,496251,3195,12:19,04/12
ENAGAS,18.270,-0.05,-0.01,17.68,18.370,18.260,87474,4787,12:19,04/12
ENDESA,20.010,-1.28,-0.26,13.47,20.360,19.915,316619,21186,12:19,04/12
FERROVIAL,27.440,0.18,0.05,12.14,27.540,27.380,95061,20239,12:19,04/12
FLUIDRA,15.070,-0.20,-0.03,3.79,15.210,15.020,177910,2948,12:19,04/12
GRIFOLS,9.500,-0.69,-0.07,-11.79,9.600,9.474,213306,4048,12:19,04/12
IAG,1.645,-0.09,-0.00,18.30,1.656,1.639,1698406,8178,12:19,04/12
IBERDROLA,11.645,-0.17,-0.02,8.31,11.730,11.625,1150800,75068,12:19,04/12
INDITEX,31.160,0.61,0.19,25.39,31.160,30.960,351195,97115,12:19,04/12
INDRA,12.690,-0.78,-0.10,19.15,12.780,12.660,178541,2242,12:19,04/12
LOGISTA,22.980,-0.95,-0.22,1.18,23.260,22.900,57686,3051,12:19,04/12
MAPFRE,1.927,-0.67,-0.01,6.46,1.941,1.918,707471,5934,12:19,04/12
MELIÁ HOTELS,5.930,1.11,0.07,29.53,5.935,5.870,194792,1307,12:19,04/12
MERLIN PROP,8.050,1.26,0.10,-8.26,8.060,7.970,122497,3782,12:19,04/12
NATURGY,28.620,0.14,0.04,17.73,28.760,28.600,26308,27750,12:19,04/12
REDEIA,16.510,-0.33,-0.06,3.16,16.640,16.470,50417,8933,12:19,04/12
REPSOL,13.910,-0.50,-0.07,-4.12,14.040,13.855,459897,20203,12:19,04/12
ROVI,40.820,0.00,0.00,13.20,41.280,40.760,33550,2205,12:19,04/12
SACYR,2.988,0.27,0.01,17.44,3.000,2.966,429333,1992,12:19,04/12
SANTANDER,3.523,1.24,0.04,25.69,3.523,3.474,5953140,57959,12:19,04/12
SOLARIA,15.930,0.63,0.10,-6.95,16.100,15.895,46490,1990,12:19,04/12
TELEFÓNICA,4.054,-0.12,-0.01,19.76,4.073,4.027,1184640,23413,12:19,04/12
UNICAJA BANCO,0.998,0.55,0.01,1.55,1.004,0.988,1489307,2651,12:19,04/12
ACCIONA,181.000,1.86,3.30,5.29,182.300,179.450,31492,9929,12:19,04/12
ACCIONA ENER,34.760,0.00,0.00,-3.82,35.180,34.740,45852,11445,12:19,04/12
ACERINOX,9.480,-0.02,-0.00,5.67,9.514,9.440,155830,2565,12:19,04/12
ACS,30.460,0.99,0.30,15.77,30.460,30.050,101954,8656,12:19,04/12
AENA,150.600,-0.20,-0.30,28.39,151.650,149.650,15112,22590,12:19,04/12
AMADEUS IT GROUP,61.220,0.36,0.22,26.10,61.280,60.900,53035,27580,12:19,04/12
ARCELORMITTAL,26.835,-0.85,-0.23,9.13,27.220,26.810,35226,23556,12:19,04/12
BANCO SABADELL,1.006,0.72,0.01,14.21,1.006,0.988,5305323,5661,12:19,04/12
BANKINTER,5.482,0.77,0.04,-11.00,5.484,5.432,388809,4928,12:19,04/12
BBVA,6.660,0.48,0.03,24.05,6.666,6.616,2357547,42535,12:19,04/12
CAIXABANK,3.455,0.09,0.00,0.55,3.464,3.422,1425704,27850,12:19,04/12
CELLNEX TELECOM,38.500,0.73,0.28,24.51,38.550,38.200,116564,26154,12:19,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.960,5.855,496251,3195,12:19,04/12
ENAGAS,18.270,-0.05,-0.01,17.68,18.370,18.260,87474,4787,12:19,04/12
ENDESA,20.010,-1.28,-0.26,13.47,20.360,19.915,316619,21186,12:19,04/12
FERROVIAL,27.440,0.18,0.05,12.14,27.540,27.380,95061,20239,12:19,04/12
FLUIDRA,15.070,-0.20,-0.03,3.79,15.210,15.020,177910,2948,12:19,04/12
GRIFOLS,9.500,-0.69,-0.07,-11.79,9.600,9.474,213306,4048,12:19,04/12
IAG,1.645,-0.09,-0.00,18.30,1.656,1.639,1698406,8178,12:19,04/12
IBERDROLA,11.645,-0.17,-0.02,8.31,11.730,11.625,1150800,75068,12:19,04/12
INDITEX,31.160,0.61,0.19,25.39,31.160,30.960,351195,97115,12:19,04/12
ACCIONA,181.250,2.00,3.55,5.44,182.300,179.450,32094,9943,12:20,04/12
ACCIONA ENER,34.800,0.12,0.04,-3.71,35.180,34.740,46405,11458,12:20,04/12
ACERINOX,9.480,-0.02,-0.00,5.67,9.514,9.440,155830,2565,12:20,04/12
ACS,30.450,0.96,0.29,15.73,30.460,30.050,103698,8653,12:20,04/12
AENA,150.700,-0.13,-0.20,28.47,151.650,149.650,15285,22605,12:20,04/12
AMADEUS IT GROUP,61.220,0.36,0.22,26.10,61.280,60.900,53035,27580,12:20,04/12
ARCELORMITTAL,26.815,-0.92,-0.25,9.05,27.220,26.810,35310,23538,12:20,04/12
BANCO SABADELL,1.007,0.82,0.01,14.33,1.007,0.988,5351572,5666,12:20,04/12
BANKINTER,5.480,0.74,0.04,-11.03,5.484,5.432,404901,4926,12:20,04/12
BBVA,6.664,0.54,0.04,24.12,6.666,6.616,2475209,42561,12:20,04/12
CAIXABANK,3.457,0.14,0.01,0.61,3.464,3.422,1425954,27866,12:20,04/12
CELLNEX TELECOM,38.490,0.71,0.27,24.48,38.550,38.200,117255,26147,12:20,04/12
COLONIAL,5.920,1.46,0.09,-1.50,5.960,5.855,496251,3195,12:20,04/12
ENAGAS,18.270,-0.05,-0.01,17.68,18.370,18.260,87917,4787,12:20,04/12
ENDESA,20.010,-1.28,-0.26,13.47,20.360,19.915,316730,21186,12:20,04/12
FERROVIAL,27.490,0.37,0.10,12.34,27.540,27.380,114895,20276,12:20,04/12
FLUIDRA,15.070,-0.20,-0.03,3.79,15.210,15.020,177910,2948,12:20,04/12
GRIFOLS,9.492,-0.77,-0.07,-11.87,9.600,9.474,219055,4045,12:20,04/12
IAG,1.646,-0.03,-0.00,18.37,1.656,1.639,1719406,8183,12:20,04/12
IBERDROLA,11.655,-0.09,-0.01,8.40,11.730,11.625,1315470,75132,12:20,04/12
INDITEX,31.140,0.55,0.17,25.31,31.160,30.960,380951,97053,12:20,04/12
